topo_type,num_nodes,packet_loss_prob,protocol,num_runs,mean_success_rate,std_success_rate,mean_avg_hops,mean_avg_link_fidelity,mean_avg_decoherence_factor,mean_avg_e2e_fidelity,std_avg_e2e_fidelity,mean_min_e2e_fidelity,mean_max_e2e_fidelity,mean_avg_total_delay_ms,mean_recovery_used
ScaleFree,30,0.100000,Dijkstra,30,81.666667,9.128709,2.258749,0.844379,0.674383,0.578886,0.052789,0.193155,0.957210,62.336672,0.000000
ScaleFree,30,0.100000,QCAST,30,96.444444,2.894483,2.498925,0.801035,0.614610,0.510167,0.056922,0.046648,0.957210,68.111487,4.566667
ScaleFree,30,0.150000,Dijkstra,30,70.555556,12.444000,2.223141,0.847468,0.687624,0.592429,0.055587,0.210581,0.957210,60.823662,0.000000
ScaleFree,30,0.150000,QCAST,30,91.777778,6.356783,2.522168,0.788318,0.612212,0.500663,0.059000,0.039733,0.957210,67.809859,6.333333
ScaleFree,30,0.200000,Dijkstra,30,63.111111,13.559386,2.188849,0.849817,0.698234,0.602875,0.051602,0.221381,0.954046,59.532392,0.000000
ScaleFree,30,0.200000,QCAST,30,86.444444,10.168441,2.524755,0.782506,0.610140,0.495623,0.056000,0.031788,0.954046,67.689536,7.100000
ScaleFree,30,0.250000,Dijkstra,30,55.111111,14.456523,2.166330,0.853462,0.704996,0.610432,0.055923,0.243854,0.945914,58.909877,0.000000
ScaleFree,30,0.250000,QCAST,30,77.666667,13.164157,2.491761,0.777746,0.617766,0.496596,0.058858,0.031840,0.945914,66.767285,6.800000
ScaleFree,30,0.300000,Dijkstra,30,47.888889,14.263082,2.136585,0.855409,0.713376,0.619062,0.057029,0.250427,0.945914,58.087791,0.000000
ScaleFree,30,0.300000,QCAST,30,69.888889,15.249730,2.456790,0.768390,0.628084,0.498878,0.066061,0.017121,0.945914,65.345980,6.366667
